                               Evaluation Summary                               
 Instance                            Score  Comment                             
 git-bahn__git-graph.87b4473             0  ERROR: compile_failed               
 go-critic__go-critic.9aea378            0  ERROR: compile_failed               
 google__brotli.b3dc9cc                  0  ERROR: compile_failed               
 gromacs__gromacs.665ea4c                0  ERROR: compile_failed               
 guumaster__hostctl.d6d9699              0  ERROR: compile_failed               
 hairyhenderson__gomplate.05eb3aa        0  ERROR: compile_failed               
 halitechallenge__halite.822cfb6         0  ERROR: compile_failed               
 hatoo__oha.8dc6349                      0  ERROR: compile_failed               
 hooklift__gowsdl.2a06cec                0  ERROR: compile_failed               
 hpjansson__chafa.dd4d4c1                0  ERROR: compile_failed               
 htop-dev__htop.523600b                  0  ERROR: compile_failed               
 hush-shell__hush.560c33a                0  ERROR: compile_failed               
 incu6us__goimports-reviser.81bd549      0  ERROR: compile_failed               
 ip7z__7zip.839151e                      0  ERROR: compile_failed               
 ismaelgv__rnr.fc0733b                   0  ERROR: compile_failed               
 isona__dirble.e2dea9f                   0  ERROR: copy_executable_failed       
 ivanceras__svgbob.6d00ad9               0  ERROR: compile_failed               
 jarun__nnn.cb2c535                      0  ERROR: compile_failed               
 jesseduffield__lazygit.1d0db51          0  ERROR: compile_failed               
 jgm__pandoc.5caad90                     0  ERROR: compile_failed               
 jhspetersson__fselect.c3559ca           0  ERROR: compile_failed               
 johanneskaufmann__html-to-markdow…      0  ERROR: compile_failed               
 johnkerl__miller.8d85b46                0  ERROR: compile_failed               
 jonas__tig.8334123                      0  ERROR: compile_failed               
 jqlang__jq.b33a763                      0  ERROR: compile_failed               
 jrnxf__thokr.09375ef                    0  ERROR: compile_failed               
 junegunn__fzf.b56d614                   0  ERROR: compile_failed               
 kaushiksrini__parqeye.8072121           0  ERROR: compile_failed               
 kisielk__errcheck.dacab89               0  ERROR: compile_failed               
 konradsz__igrep.aa75630                 0  ERROR: compile_failed               
 ksxgithub__parallel-disk-usage.96…      0  ERROR: compile_failed               
 kyoh86__richgo.313114f                  0  ERROR: compile_failed               
 kyoheiu__felix.95df390                  0  ERROR: compile_failed               
 lfos__calcurse.49180d5                  0  ERROR: compile_failed               
 lh3__seqtk.94e7070                      0  ERROR: compile_failed               
 lua__lua.c6b4848                        0  ERROR: compile_failed               
 luajit__luajit.a553b3d                  0  ERROR: compile_failed               
 lymphatus__caesium-clt.a529b2e          0  ERROR: compile_failed               
 lz4__lz4.1519f46                        6  1496 tests                          
 madler__pigz.fe4894f                    0  ERROR: compile_failed               
 mfridman__tparse.2416b4b                0  ERROR: compile_failed               
 mgdm__htmlq.6e31bc8                     0  ERROR: compile_failed               
 mgechev__revive.201451e                 0  ERROR: compile_failed               
 mibk__dupl.1bf052b                      0  ERROR: compile_failed               
 mikefarah__yq.602586d                   0  ERROR: compile_failed               
 miserlou__loop.209927c                  0  ERROR: compile_failed               
 mkj__dropbear.75f699b                   0  ERROR: compile_failed               
 mookid__diffr.2152742                   0  ERROR: compile_failed               
 multiprocessio__dsq.c3ae0ba             0  ERROR: compile_failed               
 nachoparker__dutree.44e877d             0  ERROR: compile_failed               
 naggie__dstask.ff57396                  0  ERROR: compile_failed               
 nikoladucak__caps-log.2cf2d1e           0  ERROR: compile_failed               
 nikolassv__bartib.6b9b5ce               0  ERROR: compile_failed               
 ninja-build__ninja.cc60300              0  ERROR: copy_executable_failed       
 noborus__ov.b96c2ba                     0  ERROR: compile_failed               
 noborus__trdsql.d8c5ff6                 0  ERROR: compile_failed               
 nukesor__pueue.8b9d6fe                  0  ERROR: compile_failed               
 nuta__nsh.bdd0702                       0  ERROR: compile_failed               
 o2sh__onefetch.e5958ce                  0  ERROR: compile_failed               
 ogham__dog.721440b                      0  ERROR: compile_failed               
 oppiliappan__eva.41ae245                0  ERROR: compile_failed               
 oppiliappan__statix.e9df54c             0  ERROR: compile_failed               
 orf__gping.26eb5b9                      0  ERROR: compile_failed               
 osgeo__gdal.0847f12                     0  ERROR: compile_failed               
 osgeo__proj.75d455c                     0  ERROR: compile_failed               
 paradigmxyz__solar.5190d0e              0  ERROR: compile_failed               
 parcel-bundler__lightningcss.aa2e…      0  ERROR: compile_failed               
 peco__peco.4e58dad                      0  ERROR: compile_failed               
 pemistahl__grex.fa3e8ed                 0  ERROR: compile_failed               
 php__php-src.c891263                    0  ERROR: compile_failed               
 pier-cli__pier.5e1bde9                  0  ERROR: compile_failed               
 pls-rs__pls.4e1ae50                     0  ERROR: compile_failed               
 psampaz__go-mod-outdated.bb79367        0  ERROR: compile_failed               
 quinn-rs__quinn.bb359cc                 0  ERROR: compile_failed               
 raviqqe__muffet.a882908                 0  ERROR: compile_failed               
 rbakbashev__elfcat.52f8cc7              0  ERROR: compile_failed               
 rcoh__angle-grinder.9c2fc88             0  ERROR: compile_failed               
 rhysd__kiro-editor.4157485              0  ERROR: compile_failed               
 riquito__tuc.16fb471                    0  ERROR: compile_failed               
 robertdavidgraham__masscan.b99d433      0  ERROR: compile_failed               
 rochacbruno__marmite.7d4bc2d            0  ERROR: compile_failed               
 rs__curlie.5dfcbb1                      0  ERROR: compile_failed               
 rs__jplot.2a54bcc                       0  ERROR: compile_failed               
 rust-embedded__svd2rust.1760b5e         0  ERROR: compile_failed               
 rust-ethereum__ethabi.b1710ad           0  ERROR: compile_failed               
 rust-lang__mdbook.37273ba               0  ERROR: compile_failed               
 rvben__rumdl.2d75c4d                    0  ERROR: compile_failed               
 samtools__samtools.aa823b5              0  ERROR: compile_failed               
 sayanarijit__xplr.1751065               0  ERROR: compile_failed               
 sclevine__yj.8016400                    0  ERROR: compile_failed               
 segmentio__chamber.5f93f5f              0  ERROR: compile_failed               
 sharkdp__bat.f822bd0                    0  ERROR: compile_failed               
 sharkdp__fd.40d8eb3                     0  ERROR: compile_failed               
 sharkdp__hexyl.2e26437                 15  906 tests                           
 sharkdp__hyperfine.327d5f4              0  ERROR: compile_failed               
 sharkdp__pastel.b60e899                 0  ERROR: compile_failed               
 shashwatah__jot.a92aad8                 0  ERROR: compile_failed               
 sheepla__pingu.926d475                  0  ERROR: compile_failed               
 sibprogrammer__xq.b89f681               0  ERROR: compile_failed               
 sigoden__argc.04a08f1                   0  ERROR: compile_failed               
 simeg__eureka.df3796c                   0  ERROR: compile_failed               
 sirwart__ripsecrets.34c9e03             0  ERROR: compile_failed               
 sitkevij__hex.61ae69b                   0  ERROR: compile_failed               
 skeema__skeema.6a76243                  0  ERROR: compile_failed               
 sqlite__sqlite.839433d                  0  ERROR: compile_failed               
 sstadick__hck.b66c751                   0  ERROR: compile_failed               
 stacked-git__stgit.430027d              0  ERROR: compile_failed               
 stathissideris__ditaa.f2286c4           0  ERROR: compile_failed               
 stranger6667__jsonschema.d52e881        0  ERROR: compile_failed               
 svenstaro__genact.16f96e3               0  ERROR: compile_failed               
 svenstaro__miniserve.8449e8b            0  ERROR: compile_failed               
 tarka__xcp.5e5b448                      0  ERROR: compile_failed               
 thezoraiz__ascii-image-converter.…      0  ERROR: compile_failed               
 tinycc__tinycc.9b8765d                  0  ERROR: copy_executable_failed       
 tomarrell__wrapcheck.c058da1            0  ERROR: compile_failed               
 tomnomnom__gron.88a6234                 0  ERROR: compile_failed               
 trasta298__keifu.3331426                0  ERROR: compile_failed               
 tree-sitter__tree-sitter.5e23cca        0  ERROR: compile_failed               
 tstack__lnav.ee34494                    1  989 tests                           
 tukaani-project__xz.1007bf0             0  ERROR: compile_failed               
 typst__typst.88356d0                    1  1724 tests                          
 unhappychoice__gittype.34b72d0          0  ERROR: compile_failed               
 universal-ctags__ctags.243595e          0  ERROR: compile_failed               
 wfxr__code-minimap.0ddeea5              0  ERROR: compile_failed               
 wfxr__csview.8ac4de0                    0  ERROR: compile_failed               
 wgunderwood__tex-fmt.3f1aef6            0  ERROR: compile_failed               
 wintermute-cell__ngrrram.8ea13c3        0  ERROR: compile_failed               
 xampprocky__tokei.505d648               0  ERROR: compile_failed               
 xorg62__tty-clock.f2f847c               0  ERROR: compile_failed               
 y2z__monolith.8702e66                   0  ERROR: compile_failed               
 yaa110__nomino.f892499                  0  ERROR: compile_failed               
 yassinebridi__serpl.c48a9d7             0  ERROR: compile_failed               
 yoav-lavi__melody.f4af9b4               0  ERROR: compile_failed               
 ys-l__flamelens.0b4dc33                 0  ERROR: compile_failed               
 zevv__duc.a58fa4e                       0  ERROR: compile_failed               
 zk-org__zk.10d93d5                      0  ERROR: compile_failed               
 Average                                 0  200 instances                       
Note: A score of 100 does not mean solved (due to rounding). Only ✅ indicates a
solved task.
