task	source	passed	total	success_rate	turns	agent_seconds	cmd_exit	timed_out
pylama	orig	3	34	0.088235	49	245.3	[1, 1]	False
tsfresh	rerun	27	317	0.085174	46	396.1	[0, 1]	False
python-jose	orig	36	458	0.078603	62	202.3	[0, 1]	False
icecream	orig	3	40	0.075	75	313.0	[1, 1]	False
deslib	rerun	37	532	0.069549	41	863.6	[0, 1]	False
pytz	orig	16	235	0.068085	46	85.6	[1]	False
binaryalert	orig	5	77	0.064935	58	211.0	[0, 1]	False
autopep8	orig	25	564	0.044326	66	301.2	[0, 1]	False
python-patterns	orig	3	68	0.044118	52	115.8	[0, 1]	False
autojump	orig	1	23	0.043478	51	186.1	[1, 1]	False
tqdm	rerun	6	139	0.043165	70	345.8	[0, 0, 1]	False
plac	orig	1	28	0.035714	79	275.4	[0, 1]	False
databases	rerun	4	154	0.025974	77	365.5	[0, 1]	False
aiofiles	orig	5	211	0.023697	81	358.7	[0, 1]	False
docopt-ng	orig	11	614	0.017915	61	323.9	[0, 1]	False
python-pytest-cases	rerun	21	1372	0.015306	47	631.2	[1, 1]	False
freezegun	orig	2	133	0.015038	21	91.0	[0, 1]	False
cachier	orig	2	180	0.011111	42	212.7	[0, 1]	False
pysondb-v2	orig	1	96	0.010417	61	627.4	[0, 1]	False
pypinyin	orig	6	966	0.006211	44	192.2	[1, 1]	False
flask-restful	orig	2	362	0.005525	59	368.5	[1, 1]	False
arguably	orig	0	70	0.0	55	455.7	[0, 1]	False
boltons	rerun	0	423	0.0	80	941.9	[0, 137]	False
boto	rerun	0	1014	0.0	80	550.7	[0, 1, 127]	False
cerberus	orig	0	249	0.0	65	240.1	[0, 4]	False
deepdiff	rerun	0	970	0.0	78	660.1	[0, 1]	False
emoji	orig	0	102	0.0	77	636.2	[0, 3]	False
fastapi-users	orig	0	556	0.0	80	196.7	[1, 4]	False
flasky	orig	0	34	0.0	80	164.0	[1]	False
frontmatter	orig	0	55	0.0	49	392.3	[0, 1]	False
ftfy	orig	0	336	0.0	43	496.9	[1, 1]	False
gitingest	orig	0	133	0.0	44	271.4	[0, 0, 0, 4]	False
graphneuralnetwork	orig	0	4	0.0	51	215.3	[0, 1]	False
jinja	rerun	0	911	0.0	63	582.2	[0, 0, 0, 4]	False
markdownify	orig	0	83	0.0	53	675.0	[1, 1]	False
markupsafe	orig	0	39	0.0	72	222.5	[0, 4]	False
mootdx	rerun	0	92	0.0	42	111.2	[0, 1, 4]	False
paillier	orig	0	234	0.0	9	239.2	[0, 1]	False
pdfplumber-stable	rerun	0	171	0.0	41	273.5	[0, 1]	False
pss	orig	0	46	0.0	56	168.3	[1, 1]	False
pyautogui	orig	0	28	0.0	50	443.6	[1, 1]	False
pyperclip	orig	0	2	0.0	79	280.7	[0, 1]	False
pytest-cov	orig	0	184	0.0	42	463.2	[0, 1]	False
python-pathspec	orig	0	119	0.0	80	142.6	[0, 1]	False
python-slugify	orig	0	82	0.0	60	335.0	[0, 1]	False
requests-html	orig	0	41	0.0	59	75.8	[0, 1]	False
rich-click	rerun	0	145	0.0	52	438.2	[0, 0, 0, 4]	False
schema	orig	0	118	0.0	70	316.3	[0, 1]	False
six	orig	0	200	0.0	75	233.3	[1, 1]	False
sqlparse	orig	0	461	0.0	44	231.5	[0, 1]	False
stable-baselines3	rerun	0	798	0.0	42	674.4	[0, 1]	False
stamina	orig	0	129	0.0	64	242.5	[0, 4]	False
structlog	rerun	0	828	0.0	80	447.5	[0, 1, 4]	False
synthetic	orig	0	93	0.0	75	311.8	[1, 1]	False
tablib	orig	0	172	0.0	42	281.7	[0, 1]	False
tenacity	orig	0	124	0.0	42	205.1	[1, 1]	False
typing_extensions	orig	0	535	0.0	62	187.3	[0, 1]	False
verifiers	orig	0	171	0.0	44	150.5	[0, 4]	False
voluptuous	orig	0	152	0.0	81	521.6	[0, 1]	False
wifiphisher	orig	0	43	0.0	77	176.0	[0, 1]	False
ydata-profiling	rerun	0	2182	0.0	42	194.0	[1, 4]	False
